Year,Job_Title,Industry,Automation_Risk,AI_Adoption,Degree_Required,Salary_USD,Experience_Years,Skill_Score,Remote_Work,Job_Demand_Index,Skills
2020,Data Scientist,Technology,27.7,High,Yes,89153,1,80.0,Yes,114.6,"Python, ML, Statistics, TensorFlow"
2020,Data Scientist,Technology,35.7,High,Yes,97214,5,60.0,Yes,87.3,"Statistics, Python, TensorFlow"
2020,Data Scientist,Technology,29.1,High,Yes,80523,3,100.0,No,83.6,"Python, ML, TensorFlow, SQL, Statistics"
2020,Data Scientist,Technology,21.3,High,Yes,96161,3,40.0,No,80.5,"TensorFlow, Statistics"
2020,Data Scientist,Technology,28.9,High,Yes,84539,8,80.0,No,90.4,"Python, Statistics, TensorFlow, ML"
2020,Data Scientist,Technology,26.9,High,Yes,90616,5,60.0,No,117.6,"Python, TensorFlow, Statistics"
2020,Data Scientist,Technology,28.9,High,Yes,120232,5,100.0,No,91.2,"ML, Statistics, TensorFlow, Python, SQL"
2020,Data Scientist,Technology,33.2,High,Yes,88569,6,100.0,Yes,88.0,"ML, SQL, Python, TensorFlow, Statistics"
2020,Data Scientist,Technology,20.8,High,Yes,92062,5,60.0,Yes,94.8,"SQL, Python, ML"
2020,Data Scientist,Technology,29.9,High,Yes,98105,4,80.0,No,102.5,"ML, SQL, TensorFlow, Python"
2020,Data Scientist,Technology,18.1,High,Yes,92332,4,40.0,No,116.3,"ML, Python"
2020,Data Scientist,Technology,29.8,High,Yes,92984,3,60.0,No,105.0,"SQL, Statistics, ML"
2020,Data Scientist,Technology,31.9,High,Yes,96667,4,40.0,No,105.9,"ML, Statistics"
2020,Data Scientist,Technology,28.4,High,Yes,96206,1,60.0,No,84.8,"ML, Python, Statistics"
2020,Data Scientist,Technology,34.4,High,Yes,96658,5,100.0,No,107.9,"ML, TensorFlow, SQL, Python, Statistics"
2020,Data Scientist,Technology,24.6,High,Yes,90803,4,100.0,No,89.6,"SQL, Statistics, TensorFlow, Python, ML"
2020,Data Scientist,Technology,21.2,High,Yes,96602,1,60.0,No,105.3,"ML, SQL, Python"
2020,Data Scientist,Technology,21.7,High,Yes,111212,7,80.0,No,112.4,"Python, ML, Statistics, TensorFlow"
2020,Data Scientist,Technology,27.1,High,Yes,71537,6,40.0,Yes,117.0,"Python, TensorFlow"
2020,Data Scientist,Technology,29.6,High,Yes,95123,6,40.0,No,83.7,"Statistics, ML"
2020,Data Scientist,Technology,18.8,High,Yes,82455,6,100.0,No,115.5,"TensorFlow, ML, Python, Statistics, SQL"
2020,Data Scientist,Technology,26.5,High,Yes,103112,10,100.0,Yes,106.5,"Python, Statistics, SQL, ML, TensorFlow"
2020,Data Scientist,Technology,25.8,High,Yes,94850,1,100.0,No,114.0,"Statistics, ML, TensorFlow, SQL, Python"
2020,Data Scientist,Technology,24.9,High,Yes,81986,2,60.0,No,119.2,"SQL, Python, TensorFlow"
2020,Data Scientist,Technology,38.7,High,Yes,95890,0,40.0,No,102.9,"Statistics, ML"
2020,Data Scientist,Technology,24.8,High,Yes,93820,7,40.0,No,119.2,"ML, TensorFlow"
2020,Data Scientist,Technology,24.4,High,Yes,78383,0,60.0,No,102.8,"Python, TensorFlow, Statistics"
2020,Data Scientist,Technology,16.9,High,Yes,86875,1,60.0,No,107.9,"SQL, Python, TensorFlow"
2020,Data Scientist,Technology,17.2,High,Yes,90150,2,80.0,No,111.9,"TensorFlow, Statistics, ML, SQL"
2020,Data Scientist,Technology,26.0,High,Yes,80174,11,80.0,Yes,98.6,"Python, Statistics, SQL, ML"
2020,Data Scientist,Technology,20.5,High,Yes,91819,9,100.0,No,98.3,"Statistics, Python, ML, SQL, TensorFlow"
2020,Data Scientist,Technology,25.6,High,Yes,93981,3,80.0,No,83.1,"Statistics, SQL, Python, ML"
2020,Data Scientist,Technology,21.1,High,Yes,110782,3,60.0,No,83.8,"ML, Statistics, TensorFlow"
2020,Data Scientist,Technology,23.4,High,Yes,115279,5,40.0,No,96.8,"TensorFlow, Python"
2020,Data Scientist,Technology,21.6,High,Yes,92497,4,60.0,No,99.0,"SQL, Statistics, Python"
2020,Data Scientist,Technology,22.0,High,Yes,115074,3,60.0,No,105.4,"Python, TensorFlow, Statistics"
2020,Data Scientist,Technology,30.8,High,Yes,95097,2,100.0,No,117.8,"Python, ML, Statistics, TensorFlow, SQL"
2020,Data Scientist,Technology,27.3,High,Yes,110067,1,40.0,No,112.8,"ML, TensorFlow"
2020,Data Scientist,Technology,21.7,High,Yes,86753,3,40.0,Yes,107.3,"Statistics, SQL"
2020,Data Scientist,Technology,18.7,High,Yes,83236,2,80.0,Yes,107.9,"SQL, ML, Python, Statistics"
2020,Data Scientist,Technology,21.9,High,Yes,103329,6,100.0,No,109.3,"TensorFlow, Statistics, Python, ML, SQL"
2020,ML Engineer,Technology,16.4,High,Yes,93125,6,80.0,No,110.2,"Docker, MLOps, Kubernetes, Deep Learning"
2020,ML Engineer,Technology,17.4,High,Yes,120440,4,100.0,No,113.9,"Docker, Kubernetes, Deep Learning, MLOps, Python"
2020,ML Engineer,Technology,24.3,High,Yes,131035,8,40.0,Yes,104.1,"Kubernetes, Deep Learning"
2020,ML Engineer,Technology,18.3,High,Yes,112742,5,80.0,Yes,85.7,"Docker, MLOps, Python, Kubernetes"
2020,ML Engineer,Technology,28.4,High,Yes,94165,3,40.0,No,108.2,"MLOps, Deep Learning"
2020,ML Engineer,Technology,12.8,High,Yes,94517,2,40.0,No,108.2,"Docker, Python"
2020,ML Engineer,Technology,18.9,High,Yes,103683,0,60.0,Yes,84.8,"Deep Learning, Docker, Python"
2020,ML Engineer,Technology,22.5,High,Yes,110977,0,100.0,No,97.5,"MLOps, Kubernetes, Python, Docker, Deep Learning"
2020,ML Engineer,Technology,15.8,High,Yes,107058,4,40.0,No,83.0,"Docker, Deep Learning"
2020,ML Engineer,Technology,16.5,High,Yes,99361,9,80.0,No,118.0,"MLOps, Deep Learning, Python, Kubernetes"
2020,ML Engineer,Technology,16.5,High,Yes,96699,9,100.0,No,83.1,"Kubernetes, Deep Learning, MLOps, Docker, Python"
2020,ML Engineer,Technology,16.8,High,Yes,92393,0,40.0,No,112.9,"Kubernetes, Docker"
2020,ML Engineer,Technology,23.4,High,Yes,96450,5,100.0,No,112.4,"Docker, Deep Learning, Kubernetes, MLOps, Python"
2020,ML Engineer,Technology,19.4,High,Yes,123615,0,100.0,Yes,107.7,"Docker, Deep Learning, Python, MLOps, Kubernetes"
2020,ML Engineer,Technology,17.0,High,Yes,127557,6,60.0,No,89.9,"Docker, MLOps, Kubernetes"
2020,ML Engineer,Technology,21.7,High,Yes,107163,0,80.0,No,114.1,"Kubernetes, MLOps, Deep Learning, Python"
2020,ML Engineer,Technology,18.7,High,Yes,103804,12,80.0,No,104.8,"Kubernetes, Python, Docker, MLOps"
2020,ML Engineer,Technology,11.3,High,Yes,125887,7,100.0,No,98.0,"Python, Kubernetes, MLOps, Deep Learning, Docker"
2020,ML Engineer,Technology,19.3,High,Yes,109838,7,100.0,Yes,81.8,"MLOps, Docker, Python, Deep Learning, Kubernetes"
2020,ML Engineer,Technology,19.4,High,Yes,109171,1,100.0,No,115.0,"Kubernetes, Docker, Deep Learning, Python, MLOps"
2020,ML Engineer,Technology,22.4,High,Yes,101029,3,40.0,No,101.4,"Python, MLOps"
2020,ML Engineer,Technology,13.9,High,Yes,97236,4,60.0,Yes,114.9,"Docker, MLOps, Deep Learning"
2020,ML Engineer,Technology,15.5,High,Yes,101899,6,80.0,No,117.0,"Python, Kubernetes, MLOps, Docker"
2020,ML Engineer,Technology,24.3,High,Yes,99132,5,80.0,Yes,114.7,"Python, Deep Learning, Docker, Kubernetes"
2020,ML Engineer,Technology,24.8,High,Yes,107944,4,40.0,No,83.6,"Deep Learning, MLOps"
2020,ML Engineer,Technology,25.3,High,Yes,117189,2,80.0,No,102.3,"Kubernetes, Deep Learning, MLOps, Docker"
2020,ML Engineer,Technology,20.0,High,Yes,125353,1,60.0,No,99.9,"Deep Learning, MLOps, Docker"
2020,ML Engineer,Technology,17.7,High,Yes,103114,3,60.0,No,82.2,"Deep Learning, Kubernetes, Docker"
2020,ML Engineer,Technology,17.9,High,Yes,111913,7,80.0,No,112.7,"MLOps, Kubernetes, Docker, Deep Learning"
2020,ML Engineer,Technology,21.4,High,Yes,129614,8,40.0,Yes,92.9,"Kubernetes, Deep Learning"
2020,ML Engineer,Technology,19.6,High,Yes,112856,2,100.0,Yes,100.2,"Deep Learning, Kubernetes, MLOps, Python, Docker"
2020,ML Engineer,Technology,15.7,High,Yes,105769,8,40.0,Yes,80.1,"Kubernetes, Deep Learning"
2020,ML Engineer,Technology,17.1,High,Yes,107654,5,40.0,No,118.6,"Deep Learning, Python"
2020,ML Engineer,Technology,23.3,High,Yes,107918,6,40.0,No,86.5,"Deep Learning, MLOps"
2020,ML Engineer,Technology,22.5,High,Yes,85710,6,40.0,No,107.3,"Kubernetes, Docker"
2020,ML Engineer,Technology,12.1,High,Yes,110176,4,60.0,Yes,89.2,"Kubernetes, Python, Docker"
2020,ML Engineer,Technology,24.1,High,Yes,100377,3,80.0,No,99.8,"Kubernetes, Deep Learning, Python, Docker"
2020,ML Engineer,Technology,24.9,High,Yes,117928,3,60.0,No,115.1,"MLOps, Kubernetes, Docker"
2020,ML Engineer,Technology,17.9,High,Yes,124156,3,40.0,No,96.4,"Docker, Python"
2020,ML Engineer,Technology,28.5,High,Yes,115687,8,60.0,No,103.3,"Python, Docker, MLOps"
2020,ML Engineer,Technology,21.8,High,Yes,119546,2,80.0,No,102.6,"MLOps, Deep Learning, Kubernetes, Python"
2020,ML Engineer,Technology,17.0,High,Yes,124320,3,100.0,Yes,116.8,"Deep Learning, Python, Kubernetes, Docker, MLOps"
2020,ML Engineer,Technology,17.5,High,Yes,101238,6,40.0,Yes,93.3,"MLOps, Kubernetes"
2020,ML Engineer,Technology,12.2,High,Yes,79369,5,80.0,No,85.6,"Docker, Kubernetes, Deep Learning, MLOps"
2020,ML Engineer,Technology,23.9,High,Yes,121885,0,60.0,No,88.5,"Docker, Deep Learning, Kubernetes"
2020,ML Engineer,Technology,25.5,High,Yes,111935,0,80.0,No,82.7,"Python, Deep Learning, Docker, Kubernetes"
2020,ML Engineer,Technology,20.7,High,Yes,138269,1,60.0,No,108.6,"Python, MLOps, Docker"
2020,ML Engineer,Technology,28.0,High,Yes,109802,4,80.0,No,94.9,"Python, Docker, Kubernetes, MLOps"
2020,ML Engineer,Technology,16.4,High,Yes,120292,8,40.0,No,90.2,"Docker, Deep Learning"
2020,ML Engineer,Technology,17.4,High,Yes,115383,1,60.0,No,119.5,"Kubernetes, Deep Learning, Python"
2020,ML Engineer,Technology,23.6,High,Yes,116524,4,80.0,No,109.4,"Deep Learning, Docker, Python, MLOps"
2020,ML Engineer,Technology,24.6,High,Yes,107966,3,60.0,No,94.5,"Deep Learning, MLOps, Python"
2020,ML Engineer,Technology,25.2,High,Yes,87098,10,100.0,No,119.0,"MLOps, Deep Learning, Python, Kubernetes, Docker"
2020,ML Engineer,Technology,19.9,High,Yes,113670,4,40.0,No,101.7,"Deep Learning, Docker"
2020,ML Engineer,Technology,13.3,High,Yes,95827,5,80.0,No,112.9,"MLOps, Docker, Python, Deep Learning"
2020,ML Engineer,Technology,19.7,High,Yes,81639,3,60.0,Yes,116.0,"Python, Kubernetes, Deep Learning"
2020,ML Engineer,Technology,21.6,High,Yes,140368,4,40.0,No,95.3,"Python, MLOps"
